ufn,sam.proc.date,sample.int,dry.content.w,wet.content.w,corrected.ww,fullness.cat,fullness.mean,fullness.est,kingdom,phylum,class,order,infraorder,family,genus,species_1,plot.taxon.g,plot.taxon.d,plot.taxon,life.stage,sex,DI,count,size,length.min,length.max,length.avg,length.corr,group.weight,corrected.weight,comment
U1000,2017-07-03,NA,2.2,6.9,10.626,1-25,12.5,15,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,7,2-5,NA,NA,NA,NA,2.9,4.466,NA
U1000,2017-07-03,NA,2.2,6.9,10.626,1-25,12.5,15,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,2,1-2,NA,NA,NA,NA,0,0,NA
U1000,2017-07-03,NA,2.2,6.9,10.626,1-25,12.5,15,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,Decapod,Digested decapod,Decapod,NA,NA,4,7,2-5,NA,NA,NA,NA,1.4,2.156,NA
U1000,2017-07-03,NA,2.2,6.9,10.626,1-25,12.5,15,Animalia,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,Digested,NA,NA,5,NA,NA,NA,NA,NA,NA,3.9,6.006,NA
U1000,2017-07-03,NA,2.2,6.9,10.626,1-25,12.5,15,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,Euphausiid,Euphausiidae,Euphausiidae,NA,NA,4,1,2-5,NA,NA,NA,NA,0.1,0.154,NA
U1005,2/5/2018,NA,NA,15.9,24.486,1-25,12.5,20,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Digested calanoid,Calanoid,NA,NA,4,14,2-5,NA,NA,NA,NA,3.2,4.928,NA
U1005,2/5/2018,NA,NA,15.9,24.486,1-25,12.5,20,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,NA,NA,1,1,2-5,3.25,3.25,3.25,NA,0.7,1.078,NA
U1005,2/5/2018,NA,NA,15.9,24.486,1-25,12.5,20,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,NA,NA,2,7,2-5,3,3.25,3.13,NA,3.8,5.852,NA
U1005,2/5/2018,NA,NA,15.9,24.486,1-25,12.5,20,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,NA,NA,3,3,2-5,3,3.25,3.13,NA,0.9,1.386,NA
U1005,2/5/2018,NA,NA,15.9,24.486,1-25,12.5,20,Animalia,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,NA,NA,4,7,2-5,NA,NA,NA,NA,1.7,2.618,NA
